,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
830,34.093999999999994,34.135,34.175999999999995,34.215999999999994,34.257,34.297999999999995,34.337999999999994,34.379,34.419999999999995,34.459999999999994,34.501,34.542,34.582,34.623,34.664,34.704,34.745,34.786,34.826,34.867,34.908
840,34.503,34.543,34.584,34.624,34.665,34.706,34.746,34.787,34.827000000000005,34.868,34.908,34.948,34.989,35.029,35.07,35.11,35.151,35.192,35.232,35.273,35.313
850,34.908,34.949000000000005,34.989000000000004,35.03000000000001,35.07000000000001,35.11000000000001,35.151,35.191,35.232000000000006,35.272000000000006,35.313,35.354,35.394,35.435,35.475,35.516,35.556,35.596,35.637,35.677,35.718
860,35.315000000000005,35.355000000000004,35.39500000000001,35.43600000000001,35.476000000000006,35.516000000000005,35.55700000000001,35.59700000000001,35.638000000000005,35.678000000000004,35.718,35.758,35.798,35.839,35.879,35.92,35.96,36.0,36.041,36.081,36.121
870,35.718,35.758,35.79900000000001,35.839000000000006,35.879000000000005,35.919000000000004,35.96000000000001,36.00000000000001,36.040000000000006,36.080000000000005,36.121,36.162,36.202,36.242,36.282,36.323,36.363,36.403,36.443,36.484,36.524
880,36.123000000000005,36.163000000000004,36.203,36.243,36.283,36.323,36.363,36.404,36.444,36.484,36.524,36.564,36.604,36.644,36.685,36.725,36.765,36.805,36.845,36.885,36.925
890,36.523999999999994,36.56399999999999,36.60399999999999,36.64399999999999,36.684,36.724,36.763999999999996,36.803999999999995,36.843999999999994,36.88499999999999,36.925,36.965,37.006,37.046,37.086,37.126,37.166,37.206,37.246,37.286,37.326
900,36.927,36.966,37.006,37.046,37.086,37.126,37.166000000000004,37.206,37.246,37.286,37.326,37.366,37.406,37.446,37.486,37.526,37.566,37.606,37.646,37.686,37.725
910,37.326,37.366,37.406000000000006,37.445,37.485,37.525000000000006,37.565000000000005,37.605000000000004,37.645,37.685,37.725,37.765,37.805,37.845,37.885,37.925,37.965,38.005,38.044,38.084,38.124
920,37.726000000000006,37.766000000000005,37.806000000000004,37.846000000000004,37.885000000000005,37.925000000000004,37.965,38.005,38.044000000000004,38.084,38.124,38.164,38.204,38.243,38.283,38.323,38.363,38.402,38.442,38.482,38.522
930,38.126,38.166,38.205,38.245,38.284,38.324,38.364,38.403,38.443,38.483,38.522,38.561,38.601,38.641,38.68,38.72,38.76,38.799,38.839,38.878,38.918
