Designator,Mid X,Mid Y,Rotation,Layer
R6027,230.78323,-105.681975,180.0,top
R6028,255.28073,-98.501975,90.0,top
R6029,253.14073,-107.326975,180.0,top
R6030,250.82073,-107.376975,0.0,top
R7001,256.78373,-111.940975,0.0,top
R7002,254.85373,-111.940975,180.0,top
R7003,256.77373,-113.170975,0.0,top
R7004,254.86373,-113.170975,180.0,top
R7005,249.03373,-111.920975,0.0,top
R7006,251.01373,-111.930975,0.0,top
R7007,248.50373,-115.630975,180.0,top
R7008,251.02373,-113.170975,180.0,top
R7009,249.96373,-114.990975,270.0,top
R7010,250.99373,-110.710975,0.0,top
R7011,248.61373,-126.140975,90.0,top
R7012,259.89123,-120.605975,0.0,top
R7013,251.21373,-126.140975,90.0,top
R7014,254.99373,-120.540975,90.0,top
R7015,262.58623,-121.765975,270.0,top
R7016,254.91373,-126.140975,90.0,top
R7017,255.00573,-122.461975,90.0,top
R7018,257.51373,-126.140975,90.0,top
R7019,262.51123,-119.475975,270.0,top
R7020,244.72073,-138.366975,180.0,top
R7021,244.70373,-136.810975,0.0,top
R7022,244.72073,-144.676975,0.0,top
R7023,244.71373,-143.130975,180.0,top
R7024,244.72373,-140.620975,0.0,top
R7025,221.20323,-157.514475,0.0,top
R7026,221.20323,-155.939475,180.0,top
R7027,226.05573,-156.101975,0.0,top
R7028,221.20323,-154.364475,0.0,top
R7029,197.48073,-100.576975,180.0,top
R7030,197.50573,-102.101975,180.0,top
R7031,233.68073,-156.764475,90.0,top
R7032,229.95573,-156.851975,90.0,top
R7033,221.22823,-159.114475,180.0,top
R7034,226.05573,-157.626975,180.0,top
R7035,197.51073,-103.646975,180.0,top
R7036,235.30573,-156.761975,90.0,top
R7037,223.48573,-155.121975,90.0,top
R8001,267.98073,-146.251975,0.0,top
R8002,275.75573,-142.326975,180.0,top
R8003,267.99323,-142.326975,0.0,top
R8004,275.75573,-146.276975,180.0,top
R8005,272.23773,-135.186975,270.0,top
R8006,272.23773,-139.031975,90.0,top
R8007,272.23773,-137.111975,270.0,top
R9001,21.85,-142.430001,180.0,top
R9002,19.84,-142.430001,0.0,top
R9003,17.345,-141.825001,270.0,top
R9005,21.0075,-139.075001,0.0,top
S6001,259.24573,-103.141975,0.0,top
T7001,253.04373,-133.110975,270.0,top
U13001,68.315,-114.440001,180.0,top
U17001,51.979999,-114.440001,180.0,top
U21001,35.815,-114.440001,180.0,top
U25001,19.705,-114.465001,180.0,top
U3001,128.46,-134.362501,90.0,top
U3002,147.33,-134.252501,90.0,top
U3003,142.5525,-134.292501,90.0,top
U3004,133.2125,-134.352501,90.0,top
U3005,137.8025,-134.322501,90.0,top
U4001,97.4975,-114.340001,0.0,top
U5001,84.655,-114.440001,180.0,top
U6002,211.43073,-101.516975,90.0,top
U7001,253.14373,-116.338475,180.0,top
U7003,203.78073,-101.401975,180.0,top
U8001,276.57823,-135.496975,0.0,top
Y6001,213.45573,-116.976975,270.0,top
Y7001,260.38873,-116.315975,90.0,top
